env	status	latency_ms	file
ubuntu-dispatch	degraded	9	artifacts/ci-remote/20250828_215253/dispatch-run/smoke-17296380076-ubuntu-latest/artifacts/health.json
windows-dispatch	degraded	47	artifacts/ci-remote/20250828_215253/dispatch-run/smoke-17296380076-windows-latest/artifacts/health.json
ubuntu-pr	degraded	9	artifacts/ci-remote/20250828_215253/pr-run/smoke-17296348078-ubuntu-latest/artifacts/health.json (referenced from earlier output)
windows-pr	degraded	53	artifacts/ci-remote/20250828_215253/pr-run/smoke-17296348078-windows-latest/artifacts/health.json (referenced from earlier output)
local-new	degraded	125	artifacts/ci-local/health_20250828_213848.json
